"condition","cost","notes","name","description","location","serial_number","purchase_date","id","created_date","updated_date","created_by_id","created_by","is_sample"
"good","50","","Honda Generator","","Mikes House","","","69bc0f426e9fd81fd8c5e460","2026-03-19T14:59:14.185000","2026-03-19T14:59:14.185000","6989c63749bb8ca536764155","seanswildsurvival@gmail.com","false"
"good","","","GREEN BAG FIRSTAID KIT","","","","","69bc0f426e9fd81fd8c5e461","2026-03-19T14:59:14.185000","2026-03-19T14:59:14.185000","6989c63749bb8ca536764155","seanswildsurvival@gmail.com","false"
"good","400","","ICOM 7400 (Radio)","","SMALL FLIGHT CASE","304122","","69bc0f426e9fd81fd8c5e45c","2026-03-19T14:59:14.185000","2026-03-19T14:59:14.185000","6989c63749bb8ca536764155","seanswildsurvival@gmail.com","false"
"good","","","RADIO PSU","","","","","69bc0f426e9fd81fd8c5e467","2026-03-19T14:59:14.185000","2026-03-19T14:59:14.185000","6989c63749bb8ca536764155","seanswildsurvival@gmail.com","false"
"good","","","SWR METER","","","","","69bc0f426e9fd81fd8c5e46a","2026-03-19T14:59:14.185000","2026-03-19T14:59:14.185000","6989c63749bb8ca536764155","seanswildsurvival@gmail.com","false"
"good","","","BIRD ANT METRE 2:30 SLUG CORE","","","","","69bc0f426e9fd81fd8c5e471","2026-03-19T14:59:14.185000","2026-03-19T14:59:14.185000","6989c63749bb8ca536764155","seanswildsurvival@gmail.com","false"
"good","","","Electric fence white  pickets","","","","","69bc0f426e9fd81fd8c5e47d","2026-03-19T14:59:14.185000","2026-03-19T14:59:14.185000","6989c63749bb8ca536764155","seanswildsurvival@gmail.com","false"
"good","","","MFJ DC power distribution board","","","","","69bc0f426e9fd81fd8c5e484","2026-03-19T14:59:14.185000","2026-03-19T14:59:14.185000","6989c63749bb8ca536764155","seanswildsurvival@gmail.com","false"
"good","","","LARGE FLIGHT CASE","","","","","69bc0f426e9fd81fd8c5e465","2026-03-19T14:59:14.185000","2026-03-19T14:59:14.185000","6989c63749bb8ca536764155","seanswildsurvival@gmail.com","false"
"good","","","50mtrs blue rope","","","","","69bc0f426e9fd81fd8c5e47c","2026-03-19T14:59:14.185000","2026-03-19T14:59:14.185000","6989c63749bb8ca536764155","seanswildsurvival@gmail.com","false"
"good","","","FILING CABINET","","","","","69bc0f426e9fd81fd8c5e474","2026-03-19T14:59:14.185000","2026-03-19T14:59:14.185000","6989c63749bb8ca536764155","seanswildsurvival@gmail.com","false"
"good","","","Morse phone","","","","","69bc0f426e9fd81fd8c5e47f","2026-03-19T14:59:14.185000","2026-03-19T14:59:14.185000","6989c63749bb8ca536764155","seanswildsurvival@gmail.com","false"
"good","","","ANTENNA WIRE FLEXIWEAVE","","","","","69bc0f426e9fd81fd8c5e476","2026-03-19T14:59:14.185000","2026-03-19T14:59:14.185000","6989c63749bb8ca536764155","seanswildsurvival@gmail.com","false"
"good","","","A3 club banner","","","","","69bc0f426e9fd81fd8c5e481","2026-03-19T14:59:14.185000","2026-03-19T14:59:14.185000","6989c63749bb8ca536764155","seanswildsurvival@gmail.com","false"
"good","","","PSU For ICOM","","","","","69bc0f426e9fd81fd8c5e489","2026-03-19T14:59:14.185000","2026-03-19T14:59:14.185000","6989c63749bb8ca536764155","seanswildsurvival@gmail.com","false"
"good","300","","Clansman Mast Accessories","","Mikes House","","","69bc0f426e9fd81fd8c5e45e","2026-03-19T14:59:14.185000","2026-03-19T14:59:14.185000","6989c63749bb8ca536764155","seanswildsurvival@gmail.com","false"
"good","","","4 TO 1","","","","","69bc0f426e9fd81fd8c5e46d","2026-03-19T14:59:14.185000","2026-03-19T14:59:14.185000","6989c63749bb8ca536764155","seanswildsurvival@gmail.com","false"
"good","","","Club flag","","","","","69bc0f426e9fd81fd8c5e483","2026-03-19T14:59:14.185000","2026-03-19T14:59:14.185000","6989c63749bb8ca536764155","seanswildsurvival@gmail.com","false"
"good","","","white fence posts","","","","","69bc0f426e9fd81fd8c5e486","2026-03-19T14:59:14.185000","2026-03-19T14:59:14.185000","6989c63749bb8ca536764155","seanswildsurvival@gmail.com","false"
"good","","","Lenovo laptop I5","","","","","69bc0f426e9fd81fd8c5e478","2026-03-19T14:59:14.185000","2026-03-19T14:59:14.185000","6989c63749bb8ca536764155","seanswildsurvival@gmail.com","false"
"good","","","Patch cables PL259","","","","","69bc0f426e9fd81fd8c5e47e","2026-03-19T14:59:14.185000","2026-03-19T14:59:14.185000","6989c63749bb8ca536764155","seanswildsurvival@gmail.com","false"
"good","","","OSCILOSCOPE","","","","","69bc0f426e9fd81fd8c5e473","2026-03-19T14:59:14.185000","2026-03-19T14:59:14.185000","6989c63749bb8ca536764155","seanswildsurvival@gmail.com","false"
"good","","","MFJ FREQ COUNTER","","","","","69bc0f426e9fd81fd8c5e470","2026-03-19T14:59:14.185000","2026-03-19T14:59:14.185000","6989c63749bb8ca536764155","seanswildsurvival@gmail.com","false"
"good","","","morse practice osc","","","","","69bc0f426e9fd81fd8c5e487","2026-03-19T14:59:14.185000","2026-03-19T14:59:14.185000","6989c63749bb8ca536764155","seanswildsurvival@gmail.com","false"
"good","","","CABLE REELS","","","","","69bc0f426e9fd81fd8c5e475","2026-03-19T14:59:14.185000","2026-03-19T14:59:14.185000","6989c63749bb8ca536764155","seanswildsurvival@gmail.com","false"
"good","","","UHF/VHF COLINEAR ANT","","","","","69bc0f426e9fd81fd8c5e466","2026-03-19T14:59:14.185000","2026-03-19T14:59:14.185000","6989c63749bb8ca536764155","seanswildsurvival@gmail.com","false"
"good","","","Yaesu  UHF/VHF 8800 RADIO","","","","","69bc0f426e9fd81fd8c5e468","2026-03-19T14:59:14.185000","2026-03-19T14:59:14.185000","6989c63749bb8ca536764155","seanswildsurvival@gmail.com","false"
"good","","","AT100 ATU","","","","","69bc0f426e9fd81fd8c5e469","2026-03-19T14:59:14.185000","2026-03-19T14:59:14.185000","6989c63749bb8ca536764155","seanswildsurvival@gmail.com","false"
"good","","","9 TO 1","","","","","69bc0f426e9fd81fd8c5e46e","2026-03-19T14:59:14.185000","2026-03-19T14:59:14.185000","6989c63749bb8ca536764155","seanswildsurvival@gmail.com","false"
"good","","","MFJ antenna analyser","","","","","69bc0f426e9fd81fd8c5e48a","2026-03-19T14:59:14.185000","2026-03-19T14:59:14.185000","6989c63749bb8ca536764155","seanswildsurvival@gmail.com","false"
"good","100","","Clansman Racal Mast","","Mikes House","","","69bc0f426e9fd81fd8c5e45f","2026-03-19T14:59:14.185000","2026-03-19T14:59:14.185000","6989c63749bb8ca536764155","seanswildsurvival@gmail.com","false"
"good","","","49 TO 1 Balun","","","","","69bc0f426e9fd81fd8c5e46c","2026-03-19T14:59:14.185000","2026-03-19T14:59:14.185000","6989c63749bb8ca536764155","seanswildsurvival@gmail.com","false"
"good","","","RG215 20mts","","","","","69bc0f426e9fd81fd8c5e47b","2026-03-19T14:59:14.185000","2026-03-19T14:59:14.185000","6989c63749bb8ca536764155","seanswildsurvival@gmail.com","false"
"good","","","RG58 on reel","","","","","69bc0f426e9fd81fd8c5e479","2026-03-19T14:59:14.185000","2026-03-19T14:59:14.185000","6989c63749bb8ca536764155","seanswildsurvival@gmail.com","false"
"good","","","RF RADIO CABLES","","","","","69bc0f426e9fd81fd8c5e463","2026-03-19T14:59:14.185000","2026-03-19T14:59:14.185000","6989c63749bb8ca536764155","seanswildsurvival@gmail.com","false"
"good","","","Practice Morse oscillator","","","","","69bc0f426e9fd81fd8c5e480","2026-03-19T14:59:14.185000","2026-03-19T14:59:14.185000","6989c63749bb8ca536764155","seanswildsurvival@gmail.com","false"
"good","","","1 TO 1","","","","","69bc0f426e9fd81fd8c5e46f","2026-03-19T14:59:14.185000","2026-03-19T14:59:14.185000","6989c63749bb8ca536764155","seanswildsurvival@gmail.com","false"
