"date","end_date","notes","google_calendar_event_id","description","location","reminder_minutes","title","type","is_recurring","reminder_sent","id","created_date","updated_date","created_by_id","created_by","is_sample"
"2026-06-09T17:30:00.000Z","2026-06-09T20:30:00.000Z","","75h30dr46ss3gb9mcph3cb9k6krjgbb26gqmcb9gckr6ao9i75ijgdr26g","","","","Shack Night","meeting","false","false","6a0c7acdc00435339e1a8eeb","2026-05-19T14:59:25.719000","2026-05-19T14:59:25.719000","service_cc20309a-054a-4e44-9993-465ed96f1929","service+cc20309a-054a-4e44-9993-465ed96f1929@no-reply.base44.com","false"
"2026-06-02T18:00:00.000Z","2026-06-02T20:30:00.000Z","","71hjicj661h38b9j6tij4b9k68p30bb2cgpjebb361j66dpj70o3gcb36g","","","","Radio club night","meeting","false","false","6a0c7acdb11f8288d69e3112","2026-05-19T14:59:25.491000","2026-05-19T14:59:25.491000","service_cc20309a-054a-4e44-9993-465ed96f1929","service+cc20309a-054a-4e44-9993-465ed96f1929@no-reply.base44.com","false"
"2026-05-20T17:30:00.000Z","2026-05-20T20:00:00.000Z","","c4qj8p1p6gom6b9p6gpmcb9kchim4bb171j36b9k61h30ohochj30d1lc8","","","","RAYNET meeting Cardiff","meeting","false","false","6a0c7acd8ddfa343dd21fbb2","2026-05-19T14:59:25.241000","2026-05-19T14:59:25.241000","service_cc20309a-054a-4e44-9993-465ed96f1929","service+cc20309a-054a-4e44-9993-465ed96f1929@no-reply.base44.com","false"
"2026-08-04T17:30:00.000Z","2026-08-04T18:30:00.000Z","","74qmco9n70p6abb360sm4b9k74r3cb9pcoqj0bb6chhj4p9nc8r36d356k","","","","Club night","meeting","false","false","6a0c7acca88e8bd452361987","2026-05-19T14:59:24.986000","2026-05-19T14:59:24.986000","service_cc20309a-054a-4e44-9993-465ed96f1929","service+cc20309a-054a-4e44-9993-465ed96f1929@no-reply.base44.com","false"
"2026-05-10T08:30","2026-05-10T09:30","","68q3cob6copm8bb368pjib9k6li3ab9pc8s30bb16gqj2eb569gmcor268","","","","Mils on the Air","field_day","false","false","6a0c7acc91e914979e6942bf","2026-05-19T14:59:24.254000","2026-05-19T15:13:41.120000","service_cc20309a-054a-4e44-9993-465ed96f1929","service+cc20309a-054a-4e44-9993-465ed96f1929@no-reply.base44.com","false"
"2026-05-09T07:30","2026-05-09T08:30","","ccpm4dj168oj2bb16dh32b9k6srjibb2cksmcbb3cgqj8p1lcphm6e9mcc","","","","Mills on the Air","field_day","false","false","6a0c7acbe4c1247c99666980","2026-05-19T14:59:23.840000","2026-05-19T15:13:51.025000","service_cc20309a-054a-4e44-9993-465ed96f1929","service+cc20309a-054a-4e44-9993-465ed96f1929@no-reply.base44.com","false"
"2026-05-08T08:30","2026-05-08T09:30","","64o64c1l75i34b9icgpm2b9k74ojeb9ockrj0b9lcgojcdhn6oq6ac9k6k","","","","Setup for Mils on the Air","field_day","false","false","6a0c7acb56e65fa7e2dcccb5","2026-05-19T14:59:23.326000","2026-05-19T15:13:57.364000","service_cc20309a-054a-4e44-9993-465ed96f1929","service+cc20309a-054a-4e44-9993-465ed96f1929@no-reply.base44.com","false"
"2026-04-15T18:30:00.000Z","2026-04-15T19:30:00.000Z","","74rj0dhnccp3abb4cgs3ab9k6gpj8b9ocosjabb4cgp3ip9i70rjgd9lcg","","","","Committee meeting Legion Skittle alley","meeting","false","false","6a0c7acb17c0122f3d3f89f3","2026-05-19T14:59:23.081000","2026-05-19T14:59:23.081000","service_cc20309a-054a-4e44-9993-465ed96f1929","service+cc20309a-054a-4e44-9993-465ed96f1929@no-reply.base44.com","false"
"2026-05-19T17:30:00.000Z","2026-05-19T21:00:00.000Z","","69iiuf96oo1i2kcbo8i9jq4mfp","","1st Sedbury & Tidenham Scout Group, Grahamstown Rd, Sedbury, Chepstow NP16 7AD, UK","","Club Night","meeting","false","false","6a0c7acab8c497ecf131f776","2026-05-19T14:59:22.678000","2026-05-19T14:59:22.678000","service_cc20309a-054a-4e44-9993-465ed96f1929","service+cc20309a-054a-4e44-9993-465ed96f1929@no-reply.base44.com","false"
"2026-05-05T17:30:00.000Z","2026-05-05T21:00:00.000Z","","464nql2ncchs7hb0iqmqm5rd0c","","1st Sedbury & Tidenham Scout Group, Grahamstown Rd, Sedbury, Chepstow NP16 7AD, UK","","Club Night","meeting","false","false","6a0c7aca2786809c73967b27","2026-05-19T14:59:22.145000","2026-05-19T14:59:22.145000","service_cc20309a-054a-4e44-9993-465ed96f1929","service+cc20309a-054a-4e44-9993-465ed96f1929@no-reply.base44.com","false"
